"IsAlert","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.96,0.18,752,5.99,0,2005,0,13.4,0,4,14.8
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.98,0.46,752,5.99,0,2007,0,13.4,0,4,14.77
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.97,0.28,752,5.99,0,2011,0,13.4,0,4,14.77
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.99,0.07,752,5.99,0,2015,0,13.4,0,4,14.77
0,0,0,1,-20,0.02,324,1,1,1,57,0,102.07,0.18,752,5.99,0,2017,0,13.4,0,4,14.78
0,0,0,1,-20,0.02,324,1,1,1,57,0,102,0.28,752,5.99,0,2016,0,13.4,0,4,14.75
0,0,0,1,-20,0.02,324,1,1,1,57,0,102.01,0.18,752,5.99,0,2016,0,13.4,0,4,14.76
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.93,0.28,752,5.99,0,2011,0,13.4,0,4,14.77
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.88,0.07,752,5.99,0,2011,0,13.4,0,4,14.78
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.93,0.18,752,5.99,0,2012,0,13.4,0,4,14.78
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.91,0,752,5.99,0,2010,0,13.4,0,4,14.79
0,0,0,1,-20,0.02,324,1,1,1,57,0,102,0,752,5.99,0,2015,0,13.4,0,4,14.82
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.86,0.18,752,5.99,0,2017,0,13.4,0,4,14.82
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.76,0.46,752,7.48,0,2016,0,12.1,0,4,14.85
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.78,0.46,1008,7.48,0,1995,0,8.2,0,4,14.87
0,0,0,1,-20,0.02,324,1,1,1,57,0,101.78,0.46,1008,7.48,0,1995,0,8.2,0,4,14.89
1,0,0,1,-16,0.02,318,1,1,1,57,0,101.56,0.67,752,7.48,0,1981,0,6,0,4,14.94
1,0,0,1,-16,0.02,318,1,1,1,57,0,101.56,0.67,752,7.48,0,1981,0,6,0,4,14.97
1,0,0,1,-16,0.02,318,1,1,1,57,0,101.61,0.56,1008,7.48,0,1981,0,5.6,0,4,14.99
1,0,0,1,-16,0.02,318,1,1,1,57,0,101.55,0.67,1008,7.48,0,1994,0,5.6,0,4,15
